Идентификатор проблемы,Описание,Состояние,Серьезность,Баллы истории,Путь к проекту,Вид расположения,Путь,Линейная,Столбец,Идентификатор инцидента,Ссылка на справку,Имя сборки,Версия сборки,Открытый ключ сборки,Фрагмент
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,50,8,P:System.Windows.Media.Geometry.Transform,,,,,"geometry.Transform = new TranslateTransform(stroke_th / 2, stroke_th / 2);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,48,12,T:System.Windows.Media.SweepDirection,,,,,"context.ArcTo(end, size, 0, is_large, SweepDirection.Counterclockwise, true, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,48,12,T:System.Windows.Media.SweepDirection,,,,,"context.ArcTo(end, size, 0, is_large, SweepDirection.Counterclockwise, true, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,48,12,F:System.Windows.Media.SweepDirection.Counterclockwise,,,,,"context.ArcTo(end, size, 0, is_large, SweepDirection.Counterclockwise, true, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,48,12,"M:System.Windows.Media.StreamGeometryContext.ArcTo(System.Windows.Point,System.Windows.Size,System.Double,System.Boolean,System.Windows.Media.SweepDirection,System.Boolean,System.Boolean)",,,,,"context.ArcTo(end, size, 0, is_large, SweepDirection.Counterclockwise, true, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,47,12,"M:System.Windows.Media.StreamGeometryContext.BeginFigure(System.Windows.Point,System.Boolean,System.Boolean)",,,,,"context.BeginFigure(start, false, false);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,45,8,T:System.Windows.Media.StreamGeometryContext,,,,,"using(var context = geometry.Open())          {              context.BeginFigure(start, false, false);              context.ArcTo(end, size, 0, is_large, SweepDirection.Counterclockwise, true, false);          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,45,8,M:System.Windows.Media.StreamGeometry.Open,,,,,"using(var context = geometry.Open())          {              context.BeginFigure(start, false, false);              context.ArcTo(end, size, 0, is_large, SweepDirection.Counterclockwise, true, false);          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,44,8,T:System.Windows.Media.StreamGeometry,,,,,var geometry = new StreamGeometry();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,44,8,M:System.Windows.Media.StreamGeometry.#ctor,,,,,var geometry = new StreamGeometry();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\Service\Shapes\Arc.cs,41,8,P:System.Windows.Size.Height,,,,,"var size        = new Size(Max(0, (render_size.Width - stroke_th) / 2), Max(0, (render_size.Height - stroke_th) / 2));"
