Идентификатор проблемы,Описание,Состояние,Серьезность,Баллы истории,Путь к проекту,Вид расположения,Путь,Линейная,Столбец,Идентификатор инцидента,Ссылка на справку,Имя сборки,Версия сборки,Открытый ключ сборки,Фрагмент
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,334,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,334,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,334,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,334,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,330,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,330,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,330,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,330,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,326,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,326,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,326,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,326,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,322,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,322,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,322,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,322,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(f0))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,318,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(Ny))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,318,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(Ny))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,318,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(Ny))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,318,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(Ny))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,314,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(Nx))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,314,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(Nx))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,314,5,M:System.Windows.Markup.DependsOnAttribute.#ctor(System.String),,,,,DependsOn(nameof(Nx))
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,ArrayFactor\ArrayFactor.csproj,File,ArrayFactor\MainWindow.Model.cs,314,5,T:System.Windows.Markup.DependsOnAttribute,,,,,DependsOn(nameof(Nx))
Project.0002,Необходимо изменить целевые платформы проекта,Active,Mandatory,1,Tests\ConsolePolygon\ConsolePolygon.csproj,File,Tests\ConsolePolygon\ConsolePolygon.csproj,,,,,,,,Текущая целевая платформа: net9.0 Рекомендуемая целевая платформа: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\ConsolePolygon\ConsolePolygon.csproj,File,Tests\ConsolePolygon\FDTD.cs,124,8,M:System.Threading.Tasks.Task.WhenAll(System.ReadOnlySpan{System.Threading.Tasks.Task}),,,,,"await Task.WhenAll(tHx, tHy, tHz).ConfigureAwait(false);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Tests\ConsolePolygon\ConsolePolygon.csproj,File,Tests\ConsolePolygon\FDTD.cs,82,8,M:System.Threading.Tasks.Task.WhenAll(System.ReadOnlySpan{System.Threading.Tasks.Task}),,,,,"await Task.WhenAll(tEx, tEy, tEz).ConfigureAwait(false);"
